Year,Total,Age_0_4,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Age_35_39,Age_40_44,Age_45_49,Age_50_54,Age_55_59,Age_60_64,Age_65_69,Age_70_74,Age_75_79,Age_80_84,Age_85_89,Age_90_94,Age_95_99,Age_100_Above,Not_Stated
2009,140760,1491,134,151,535,727,914,1027,1510,1947,3004,4149,5434,7604,9141,12090,16815,24167,25608,16621,6560,1120,11
2010,143473,1455,141,140,529,736,837,1011,1453,1943,2957,4078,5460,7580,9359,12377,16372,24274,26787,17603,7103,1264,14
2011,146932,1342,147,132,477,741,871,1027,1395,1896,2828,4108,5546,7865,9533,12493,16498,24322,27843,18890,7614,1360,4
2012,147098,1234,128,141,500,703,851,983,1302,1976,2657,4028,5468,7578,9897,12246,16440,23909,27885,20059,7741,1369,1
2013,147678,1310,136,136,463,676,801,986,1276,1954,2810,4102,5586,7609,10574,12455,16336,23214,27934,20364,7554,1384,18
2014,153580,1191,136,126,396,690,847,1100,1382,2092,2785,4302,5831,7955,10825,12991,16988,23209,28629,22381,8024,1666,34
2015,159052,1201,132,147,476,678,853,1106,1423,2138,2933,4381,5978,7923,11030,13482,17614,23359,29773,23813,8874,1736,3
2016,158504,1161,113,133,410,728,866,1135,1372,2070,2858,4174,5948,7839,10964,13753,17622,23166,29166,23974,9232,1816,1
2017,160909,1209,123,140,443,679,842,1089,1395,1958,2980,4008,5865,7806,11007,14535,18017,23029,29184,24683,9954,1958,5
2018,158493,1146,102,136,457,677,797,1043,1459,1822,2864,3979,6021,8075,10774,14837,17754,22688,27860,24265,9939,1797,2
2019,169301,1192,118,146,482,834,985,1148,1541,2062,3227,4104,6333,8742,11304,15772,18955,24206,28873,25978,11401,1897,3
2020,161300,1104,86,139,476,730,919,1121,1460,1812,2896,3975,5894,8190,10602,15523,18488,23413,26840,24621,11054,1950,7
2021,171469,1161,119,154,466,701,854,1092,1411,1836,2824,4151,6078,8296,11235,16287,19743,25288,28410,26568,12415,2373,7
